Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,491.000000,509.750000,491.000000,508.200012,490.852356,18527226
2022-04-04,509.299988,514.900024,506.000000,512.400024,494.908997,16257176
2022-04-05,514.400024,516.400024,507.700012,509.399994,492.011353,13602384
2022-04-06,507.000000,515.200012,506.000000,513.950012,496.406067,13738275
2022-04-07,510.049988,519.900024,510.049988,514.950012,497.371918,19620958
2022-04-08,519.500000,519.500000,512.349976,516.099976,498.482635,13572638
2022-04-11,513.500000,522.000000,513.200012,514.900024,497.323669,12370288
2022-04-12,512.750000,516.700012,504.350006,512.849976,495.343567,14460680
2022-04-13,514.299988,520.900024,513.750000,517.700012,500.028076,15440525
2022-04-18,512.000000,515.000000,504.000000,509.500000,492.107971,14492183
2022-04-19,513.250000,520.950012,505.100006,511.799988,494.329437,20362934
2022-04-20,512.000000,513.700012,507.000000,509.299988,491.914795,11881305
2022-04-21,513.400024,518.000000,512.200012,516.299988,498.675812,10035638
2022-04-22,512.900024,513.500000,499.000000,500.600006,483.511780,16760456
2022-04-25,495.000000,499.200012,490.049988,494.750000,477.861450,14057444
2022-04-26,499.000000,507.899994,498.450012,505.500000,488.244507,12137213
2022-04-27,500.000000,502.799988,491.850006,497.250000,480.276123,12367342
2022-04-28,499.149994,510.000000,496.500000,507.500000,490.176239,12154792
2022-04-29,508.100006,512.500000,494.000000,496.299988,479.358551,12894773
2022-05-02,492.649994,495.000000,481.299988,491.000000,474.239471,18590895
2022-05-04,492.000000,496.450012,477.500000,479.649994,463.276917,14645323
2022-05-05,485.000000,494.000000,478.649994,480.000000,463.614960,14130385
2022-05-06,471.000000,486.100006,471.000000,483.950012,467.430145,16710020
2022-05-09,477.100006,483.700012,473.799988,475.899994,459.654907,13544947
2022-05-10,477.000000,482.549988,473.500000,475.200012,458.978821,10884328
2022-05-11,475.250000,479.000000,463.649994,476.549988,460.282715,14771351
2022-05-12,473.000000,473.000000,456.350006,462.649994,446.857208,18947096
2022-05-13,469.450012,477.000000,439.750000,444.649994,429.471649,61403008
2022-05-16,445.000000,461.500000,438.850006,455.000000,439.468353,27940958
2022-05-17,458.299988,469.649994,456.149994,467.299988,451.348480,16880698
2022-05-18,467.899994,468.600006,457.100006,458.000000,442.365936,15644497
2022-05-19,449.049988,450.000000,444.450012,447.500000,432.224335,14201420
2022-05-20,454.850006,464.000000,454.149994,462.399994,446.615753,13596860
