Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,491.000000,522.000000,490.049988,496.299988,479.358551,274734230
2022-05-01,492.649994,496.450012,438.850006,468.100006,452.121185,368134331
2022-06-01,468.000000,475.549988,430.700012,465.899994,457.018951,258464165
2022-07-01,463.350006,537.500000,460.549988,528.349976,518.278503,230548231
2022-08-01,529.049988,546.400024,508.250000,531.250000,521.123230,289740271
2022-09-01,522.250000,578.500000,516.150024,530.599976,520.485596,285685943
2022-10-01,527.599976,586.200012,518.500000,573.799988,562.862183,212788403
2022-11-01,576.349976,622.700012,568.000000,602.450012,590.966064,289212623
2022-12-01,607.849976,629.549988,570.700012,613.700012,602.001587,236062156
2023-01-01,614.950012,619.200012,525.200012,553.500000,542.949097,267234546
2023-02-01,561.400024,565.000000,499.350006,522.799988,512.834351,364711473
2023-03-01,523.250000,567.900024,501.549988,523.750000,513.766235,345056294
2023-04-01,524.750000,580.450012,519.049988,578.299988,567.276367,389306777
2023-05-01,578.299988,596.400024,563.250000,579.849976,568.796814,420940668
2023-06-01,581.799988,593.950012,553.799988,572.849976,572.849976,262530267
2023-07-01,574.500000,621.900024,573.900024,620.200012,620.200012,345743995
2023-08-01,620.200012,620.849976,554.000000,571.700012,571.700012,327416589
